id,summary
19767,notification displaying instructions in learning application
11172,display of photos in a recent folder
21663,alert message to select an app for sharing the file
16037,page displaying different categories of sports in sports application
2256,display of screen shows to share with other apps
32297,display of settings for a music downloading app
35285,display of screen shows personal details
2078,page displaying informations about a travel application
23313,display of categories in a ringtones app
29441,guide page of a language translation app
10740,page displaying new updates
22980,display of grocery list in a shopping app
10965,display of a page showing various settings for app
34300,page displaying the list of categories to be sorted
26846,display of playing a video in video player app
32254,display of security options for an account
20513,display of apps to open an application
24244,display of options in a travel app
12105,page displaying list of options for settings
3511,account page of a shopping app
27961,list of options available in the app settings
11283,displaying various colors and options in front color page
14416,display showing number of images with number of views
30482,page asking to browse menu of an ecommerce store
15762,home page of the sports with there countries and scores
18483,display of posts
23687,page displaying information about a workout application
15939,log in page for the application
35791,display of courses for a learning app
19511,page displaying a picture with text on gallery app
10533,display showing search option to find news
32831,display of languages to choose for an app
22649,notifications page
29673,display of screen shows about a social app
13180,page displaying an images in fitness application
29676,introductory page
30249,display of page to create profile in kids play app
17354,notification displaying weight information with different options
22939,display of screen shows to sign in an account
12458,list of various numbers displayed to choose on application
1236,display showing news
30476,page displaying done button and plus icon
2672,page asking to update an app
10221,log in credential page for an application
19065,alert to select map style
24045,home page with lot of features
33716,image shows maps page with options
32066,page displaying profile details to be entered
1542,page displaying an image to save
21231,page displaying the timer in baby monitoring app
24525,display page to write a sentence with different options
33302,page displaying sign in details with a social app
3078,page displaying a blog
24378,display of help options for an app
20134,game page with description installing game and other options
29185,page asking to choose a option to get likes
25922,display of screen shows about beats
25113,3d view of streets in map app
19108,display page showing login page for a app
32537,display of preferences for a mobile device
23379,display of a recipe guide in a food recipes app
30652,pop up displaying to send details
12773,screen displaying features information
20269,page displaying the images
31750,pop up of a animated gif image to save/share
28996,display showing graphic featured in design
16087,display page showing options to add story in messaging app
16919,alert for activate keyboard themes
14821,display of screen shows to setup a network
34998,home page for an application
33291,log in credential page for an application
12664,page displaying list of options
17011,page displaying various settings options
10185,display of shows
28013,display of messages list in a social app
16635,page displaying blank inbox with other options
14611,page displaying sign in option
20372,display showing sign in page for comics app
20435,display of preferences for a mobile device
26171,page displaying updates of application
31835,display of screen shows a failed download
13751,display of an image
15711,display showing a track is playing in a music app
13125,page asking to join through social website accounts
256,display of screen shows extra tool
27687,display of hotel photo in a hotel booking app
33924,display of a page showing of sleep tracking app
25804,display showing to enter the details for login
12108,page displaying various details of reading application
21697,choosing up of a commision rate
1390,faq page
19660,blank visitors page
3306,pop up displaying credentials for the app
23729,page dispalying various details in fitness application
17434,list of options under a search bar
10544,display showing search option to find car
20565,display of screen shows different settings
30620,display of screen shows to find a store
14291,displaying to install the themes of an home page
26242,list of articles regarding tourists
23010,pop up alert with options to share this app
10215,display of option to view countries
18722,display page showing a list of sorting options
12173,display of options in an ebook app
17291,page displaying list of folders
34003,display of options in a baby feeding app
17818,page displaying favorite teams information in a ice hockey application
2040,display of options in a weather alerts app
1777,display of list of countries with codes
32607,display of screen shows to add card
34442,display of a location in a navigation app
18913,display of screen shows diseases
18079,notification to choose different kinds of services to share
28879,pop up showing to upload another photo
12064,page displaying to compose message in social app
32813,display of screen shows about recommended topics
29002,app sign up page with mail credentials
32410,display of a page showing various games in gaming app
22652,pop up asking to buy credit
12778,display showing dishes in a food app
3138,display of tools in a shopping app
19335,display of a page showing various settings for app
11682,page displaying latest informations
14442,introductory page of a website
35610,page displaying the terms and conditions for a social app
12189,display of screen shows location of a bus station
27142,image cropping in a editing app
15179,page displaying many number of profiles
15857,display of a page showing online shopping app
25749,map interface for ordering fast food
32256,display of screen shows about a video locker
1944,display of filters in a shopping app
24238,app page contains name filling tabs and next option
29174,display of list of social apps
21915,different settings are showing
21119,display page with status of tickets
30640,page displaying images with quotes
11625,displaying my places page
11920,page displays to contact branch to apply application
18783,pop up displaying coupon info
20642,list of options
30029,car model in a car booking app
13202,getting started page
35004,display of a page showing of sports news app
16284,pop up alert to like application
3166,display of a page showing of food app
3304,notification displaying list of dates and years and other options
30627,app page with playlist to listen songs and other options
23177,home page displaying with different options of an learning application
20853,camera interface with options in a social app
31094,display of option to allow in a video clips app
16205,display of information about a compass app
22054,display showing number of stories
30779,interface with different selection options in a tv service app
13563,display of a page showing notifications for creating alert
23816,display of screen shows top stories
24046,display of wishlist 's item in a cars finding app
33041,page displaying the multiple images an a app
31918,displaying a map in location page
20335,home screen displaying for alarm app
19671,home page with message option
32979,display with multiple options
17200,page displaying news in a sports application
10597,page displaying list of options to contact us for help
21648,display of a page to set reminders
10097,list of options available in the app settings
25546,display of articles in a sports news app
28771,display of a page showing clock time for theme app
32823,display of screen shows private chats
13172,display of screen shows about a learning center
1901,page displaying multiple applications to share
22621,display of a page showing weather forecast app
18978,display of screen shows map settings
29,display with multiple help options
31581,display of screen shows a fun app
28273,display of options to invite friends for an app
33138,display of a page showing of battery saver app
33460,choosing date in a calendar page
349,page displaying an update
30161,notes page
18880,page displaying list of categories
15395,display showing search bar to find
1191,home screen displaying for weather forecast app
10791,pop up asking to enter its privacy policy
18480,page displaying a post with likes and messages of app
257,display showing to select the platform
24560,page displaying a play button and other options
24534,list of applications where i can share
20452,display of screen shows several settings
11129,display of searched editors list in a location
17955,display of options in mode settings for an app
1749,blank page displaying for conversation
2737,display showing social app to connect
14453,display of screen shows about favourites
14892,display of options for a travel app
12211,display pages showing images with menu option
32659,display of ideas in a home designing app
11457,page displaying multiple location points
35200,display of screen shows no playback history
32406,page displaying search results
3135,display of a dress in a shopping app
20570,pop up alert with applications to share
12887,display showing about an application
1433,log in page by using social application
27931,notification displaying various filtering options in booking app
28761,list of settings options with different categories
17214,page displaying list of preferences in app
21003,pop up displaying the drawings details
27502,display of a page showing of traveling app
28427,list of setting options on the screen
33295,home page displayed of a online shopping app
34377,page displaying list of chapters in a learning app
27760,home page for the financial application
281,page displaying the news of the social app
28631,home page for the application with entry details
34583,list of about food items
31883,display of dressing types in a tailoring app
22789,display of screen shows settings
10489,empty list of of blocked log page
32068,display of screen shows about registration
25719,display of screen shows to select location
10613,display of screen shows to sign up a new account
31172,app pop up with some illustrations
12327,display of screen shows a gps
17953,page displaying app details power usage of a battery saver app
35433,display of screen shows about a navigation guide
10714,alert message to select an app for sharing the file
27615,display of profiles in a dating app
21744,english alphabets page displayed of a religious ebook app
27083,display showing the information of a day
12514,display showing a product in a shopping app
25121,list of a food coupons
13212,display of a page showing of down loader app
31398,display showing login page for mobile recharge app
33192,page showing weight calculator options
33266,display of apps to open an application
13465,display of screen shows sign in page
22564,display of screen shows several photos on an app
16674,blank page with search and other options
32137,display of guiding options in a music app
28346,page displaying for a weather forecasting app
2361,display page of an fashion store to search your offers
24042,page displaying different types of car models
16042,display of screen shows about matches
24480,event reminder with date and time remaining
13149,screen page shows a countdown display
30261,display of screen shows videos from channels
33392,page shows deny or allow option to accept privacy policies
32526,page displaying about the setup in application
29137,list of various sports news notifications on news app
2954,display of games in a play station
20802,display of screen shows about an account
14295,display of options in a video calling app
26661,log in page displayed
15360,page asking for email
28593,notification displaying information to setup an application
25830,log in page
144,display of options in a market app
28824,display of location events in a radio app
22162,display of a task with timer
27325,display showing to begin journey plans
13220,list of options in a video player app
19327,display of a post in a fun app
1122,display of grade levels in a school app
204,display of a page showing search bar for food app
1731,page showing list of cycle length
34421,display of searched institution to select from the list
16012,display of screen shows no recurring transactions
1225,display of history page for a browser app
3333,list of voice notes of cat
26691,page displaying id number of a person
28529,app showing a payment page
27741,page asking to choose a path
34493,app log in page with credentials
22180,blank page displaying a camera icon
14325,display of list of sharing applications
31942,display of private conversations page in a messaging app
35391,home page displaying about steps
29459,home screen displaying for postcards app
12223,page displaying an image with quote on an app
13589,displaying no contacts in a blacklist page
12369,introduction page of a sports app
31606,display of screen shows about win list
13449,page displaying image options
31636,display of screen shows timeline
13122,display page showing offers and icons in shopping app
28429,notification displaying various cartoons
19980,display of list of sharing applications
25342,display of identity verification option for an app
10228,list of multiple stories in a news app
14612,display of information about an enterprise app
35266,home screen displaying about dashboard
2091,display shows opening the speech engine through social app
20098,info of a workout displayed in fitness training app
2178,display of budgets page in an expenses tracking app
14942,page asking to choose an app to share image
11623,display with multiple setting options
15191,display of screen shows general settings
20538,call recorder app with list of menu and other options
25846,pop up of story saving
35203,display of volume settings for an app
14799,display of list of apps to complete an action
29674,notification of social networking app
24857,page displaying the share options through social apps
24099,display of screen shows latest unread topics
29195,displaying list of options for settings
28125,display of units on a learning app
23870,display of screen shows to search women products
3560,page displaying list of episodes to download
13548,home screen displaying a search bar with multiple options
29784,display of favorites options in a learning app
22316,display of a page showing of microsoft office app
23181,pop up asking to login into the app
17148,page displaying signin option
32590,display page showing sign up page for cricket app
31185,list of sound affects available in the app
23408,page displaying the list of exercises of the app
17095,blank list of favorites in app
27859,display of screen shows issues
22543,home page displaying for weight loss app
13328,notification with list of options to select a folder
25421,notification displaying an information with cancel and ok options
14100,page displaying different setting options available in application
14908,display of screen shows a map and timelines
11234,list different food stores on food app
16473,few options in a health app
10879,home screen displaying for health app
11080,display of posts in a social app
10618,display of details to sign up an account
34372,instructions to add favorites in book app
19448,app settings page with list of options
16801,menu of options
15688,display showing something went wrong
16851,display of screen shows to join a group
2454,welcome page displaying about a feature
31143,display of a page showing of railway ticket booking app
21937,displaying a moments page
22872,notifications regarding ladies health care
22691,displaying various options in menu page
26786,page displaying to select exams
1270,display of a page showing various categories for app
28020,display of screen shows a profile
15686,home page displaying events in reminders app
22511,continue page
25574,page displaying news in a news app
18650,list of travelling duration between locations
30759,page displaying different options in social application
27831,display of screen shows to start searching notifications
11805,display showing to choose photo
23259,page displaying about info of an medical application
21923,list of various countries for selection of edition
27155,display of languages to choose for an app
13612,calculator page displayed with various options to enter
26877,account creation page displayed in a dating app
20160,display showing number of topics
25927,log in and sign up page for the application
18681,display of a page showing statement for app
2534,display of a blank screen in a navigation app
30683,page displaying different wallpapers to select
13921,page displaying a profile with sign in option
13617,display showing settings page
31126,budget calculation page is displaying
20558,display of screen shows several setting options
32237,display with multiple setting options
1828,display of a message
26774,display of topics in a course learning app
21592,multiple options displayed in settings
29065,account settings page
20881,display page showing to clear points in a gps app
32403,blank page
20777,display of a page showing no alerts for app
17120,different styles of using a backpack
11984,display showing news could not be loaded in news app
25983,display showing an image
24241,display of screen shows about network settings
23806,login page of financial application
20375,display of teams in a sports app
26003,display showing to apply filters
13723,display of list of edible items
34764,offers page with list of offering apps
12061,notification showing recent changes
28161,display of options for an alarm app
32153,display showing number of colors
25116,page asking personal information in app
13914,display of a page with many emojis in options
1626,home page of a social network app
14615,display of screen shows sign in account
12522,blank page displaying with the url
20163,page displaying multiple skin products with cost
21226,page displaying various applications to share
18182,page displaying a show
30625,display of screen shows special offers
30126,display of shopping list in a shopping app
22068,page displaying different search results
12594,display showing number of books
18905,page displaying sign in option
1809,initial page of a learning application
11729,page displaying smiley image
24891,display of screen shows terms of services
25529,page displaying multiple settings options
14586,display of list of sharing applications
17197,display showing information about women in a championship
2459,display of list of sharing applications
1308,notification displaying details with ok option
23033,page showing log in with multiple options
19669,display of stickers
14869,filters page in a online app
33083,page displaying the information about remove adds
10891,display showing introduction page in a learning app
27614,display showing information of a person in a social app
12274,display of screen shows search history
35061,display of call notifications settings
34797,display of screen shows about necessities online
24130,display shows inbox page of messaging application
34638,page asking permissions to use camera and microphone
19157,display of screen shows a translation app
213,account registration page
17252,page displaying about the event details and road trips
21741,alert notification for various options of the music application
15802,display page showing various features for video streaming app
19154,page displaying list of customer support options
10213,page displaying allow permission for contacting option in the app
1760,page displaying the various options of settings
19953,multiple buttons to find a place
27745,display of screen shows to translate a sentence
14685,display of sign in page for grocery delivery app
2958,display of screen shows settings
25679,display of a page showing of music player app
22852,page asking to adjust eye markers
32131,display of screen shows information of a session
35588,list of places and pictures available in the app
34665,display of a page in speaking app
34387,page displaying the reading plans
11028,list of places with weather update available in the app
28784,page displaying information about a sound application
19897,displaying various images in recent page
33394,display of screen asks to invite
21625,page displaying e-tickets in app
10988,page displaying departure details in the app
17787,display of screen shows a video in a social app
28800,list of titles for names are available in the app
29669,login page for lifestyle app
23005,display of screen shows information about the app
13321,app page contains personal information filling tabs and other options
27245,display page of an hotel
20625,display of brightness setting
32970,page displays list of cuisines in app
21890,display of weather readings in a weather app
23112,display of a page showing of online video streaming app
10671,app displaying the login option
14389,page displaying all details of movie of an steaming application
16386,page displaying about sign in with social applications
27251,display of screen shows best restaurants
18956,display of a page showing of car app
30743,page dispalying the map with other details in navigation application
35342,screen shows about display settings
33395,about page with version name
22583,page displaying activities information about an application
27663,multiple options to find different categorie quotes
14739,display of screen shows memories to post
30244,list of options available in the app
34488,login page to enter user credential
11643,display of menu settings in a medical app
1869,display of a page showing of alarm clock app
32617,display of match summary details in a sports app
14954,pop up displaying different options for sharing the page
1937,page displaying list of departments in a shopping app
29665,page displaying to enter a verification code
26520,display page of hotel to book room
35442,initial page of financial application
26142,display of numbers in a learning app
26652,display with multiple options
16661,page displaying a map in the app
23537,page displaying find the locations
10615,display of a page showing various settings for app
32616,app installation policy page with yes no options
35276,alert message to select an app to open a file
13926,display of list of body types to select
20559,notification showing details with social apps
2900,display of screen shows a compass
27228,initial page of financial application
31604,display of prices
17763,page displaying error occurred while initializing social application
17558,login credential page for an app
17019,page displaying list of various news in news app
2925,page displaying score with other options
13003,display page showing of article for book reading app
23529,page displaying a map and list of places
28602,display of screen shows a login page
31885,notification displaying an information with other options
29598,display of screen shows a palette
18719,learning app page with product details and buying option
26161,list of options
28617,blank page displaying for bookmarks
30575,display of screen shows application settings
26549,count of stickers
14500,page displaying information about a drinking water calculating application
35725,home page displayed of a online shopping application
31543,home page displaying a sticker
10244,display of collections in a course learning app
22494,compose page of a diary app
29352,display of finding flights options in an airways app
14158,list of theatres are displaying
21577,login page
27616,list of images available in the app
22317,page displaying for office app
20698,app page shows list of functions and errors
20140,app account page with information and other options
14133,display of a page showing of online movie streaming app
16630,list of options in notifications page
18590,app page with list of button customization options
21597,display of a page showing of traveling app
31520,displaying a team profile in a sports app
12817,display showing a track in a music app
33686,page displaying a begin setup option
17464,display of sounds buttons
33573,app page with listed search results and options
26580,chat page
17556,displaying various options in help page
28218,display of a query
27125,cloths are displaying with price in the shopping app
30865,interface for a creative writing based app
17025,display of screen shows latest news
21,notification displaying just once and always options
21743,page showing multiple sharing options
28209,list of records available in the app
33319,display of screen shows products from a shopping app
34279,display of settings in a vocabulary app
28539,display of available rent locations in a renting app
1325,display showing log in page for app
1574,display of settings options for a browser app
11675,display showing history blank page with various features for app
13229,page displaying the category
28703,display of screen asks to set up news
24752,page displaying the information of user license agreement
27377,page displaying the status in social application
29373,display of screen shows to access
3334,pop up displaying information about sound setting options
26484,display showing next option to continue the page
13977,page displaying voice changer options
34321,catalog various cities displayed
17137,display of favorite house in a renting app
26767,account creation page is displaying
27901,display of screen shows about a book
25213,notification to upgrade an application
16971,page displays to login into an app
29829,display of bass level setting in a music app
3042,display of flight search options in a travel app
33178,list of categories in a search app
14188,page displaying preferences in the phone
23301,login and create account page
2988,display of screen shows a html link
211,page asking feedback for the day
23486,page displaying photos of recent arrests
24024,sign in page of a social app
13105,app page contains list of investment information and other details
25285,blank page is displayed in the app
15836,display of screen shows to check for activation of account
18225,display of a page showing various settings for app
13416,chat page of a messaging app
32378,notification displaying different selected options
33177,home screen displaying a profile
34598,list of all the songs
35661,display of a privacy policy for an airlines application
31875,display showing to select local airport
12057,app page contains details of the app usage and information
35305,display of countries in a wifi app
32619,display page with settings options of mobile phone
10516,alert message to select an app for sharing the file
11826,movie ticket booking app with search and list of movies
26677,display of exercises in a fitness training app
12048,page displaying list of notifications
15972,display of screen shows about food page login
33423,display of screen shows to add manual entry
24711,page displaying categories in books reading app
10850,page displaying the options for the heath records
34029,display showing account page
1040,notification displaying the instructions in news application
30607,page displaying home screen with different options
28446,home page displayed of an map navigation app
27778,display of screen shows about heart rate measurements
16892,page displaying map for location
33336,log in page for a shopping app
27873,pop up asking for number of days
11854,page displaying cars information
18481,page displaying information about different articles
27896,account and settings options page displayed if a reading app
10488,display of screen shows history of recent calls
10583,pop up page displaying various apps for sharing info
24487,display of photo grids in a puzzle
2940,page displaying a word in a dictionary application
31182,display showing search bar
3436,chatting window of a contact is displaying
12117,display page to draw objects in a learning app
25729,pop up displaying the welcome feedback
15,display of workouts in a fitness app
25968,display of searched items in a shopping app
19310,log in page of a social app
2172,list of options available in airline service app
23910,blank page
28623,display showing a travel app to book tickets
32322,display of selling options in a market app
20871,page displaying about top travelling locations in app
33766,page displaying to save profile details of an fitness application
2673,home screen displaying multiple images
17593,list of options in app settings page
35606,display of screen shows menu translator
10287,page displaying list of questions for quick responses
31189,introductory page
19432,login page of an account
18248,display of models for a car
11348,app page contains information and options
12993,blank page
25381,page displaying both options
28347,display showing the details of weather forecast
34053,display of screen shows general settings
13664,page displaying call history
24200,display of a drawing in a learning app
32809,login page for social app
35191,display of screen shows to fill the profile
15074,display of timers in a fitness app
23064,notification displaying different options in a news application
2380,page displaying to start a new app
20357,display of information about a comic book
24218,display of screen shows to create a story
21295,home page displaying multiple games
31681,display of information details of an user
1578,page displaying different profiles with menu option
22909,display showing settings page
28877,display showing top stories in a news app
26778,display page showing variety of sharing options for app
17310,catalog phrases page displayed of a language learning app
27711,page displayed the birthday date and time
22777,page displaying the information of a social app
2522,page asking for order location in travel booking app
31115,display of photos in a wallpaper app
21581,baby monitoring app page contains instructions and information of app
34035,display of screen shows flight information
17302,display of logout page for a dating app
2353,display of login page with options in a meeting app
25131,display of horror story articles
192,page showing various photos on app
187,notification regarding photo status in a dating app
22274,list of options under live games
23327,display of list of apps to send an email
32649,notification displaying various flags in sports application
10374,display of recipes in a food recipe app
35223,display of screen shows about a new account
12521,notification displaying network information
29348,display showing price details of a flight
15623,page displaying the gift card in a social app
2261,page displaying products from a shopping app
35220,display of a page showing of messenger app
20753,page displaying different nail paints
13754,display of topics in a social news app
3537,display of screen shows about orders
28937,page displaying the financial app
18484,confirmation alert for privacy policy of the application
27519,log-in page of a shopping app
22324,display of language versions in an ebook app
25753,display of screen shows different videos
15888,display of screen shows about rewards
33293,pop up displaying a list of language names
15797,display of a page showing video for online camera app
20550,app page contains information of password and set up option
2076,display of screen shows to accept terms
26078,pop up to select different kinds of language
26838,page displays to sign in into an app
27708,page displaying list of settings in app
27748,display of goal settings in a fitness app
14907,display of a page showing of gps location tracking app
25302,image shows settings page
24514,display of apps to send an email
2356,display of screen shows list of offers
34343,page asking to edit a profile
31814,home page for financial application
35138,list of various doll categories
27983,list of ingredients for a recipe in a recipe app
11519,notification displaying various places
10619,app page contains usage of tracker application with start option
22147,page displays to sign in into an app
22258,display of screen shows about a profile
2167,display of a search result with many options
2450,welcome page of a social app
29489,page displaying application options for browsing
3457,display of a page showing of music streaming app
19833,list of football teams on various categories
34914,page asking to fill the details in add spot page
3107,display of records page in a health tracking app
10250,display of screen shows featured collections
18491,app settings page with list of options and app details
307,alert message to select an app for sharing the file
30996,display page of the travelling app with different services
12878,alert notification for set up budget on tracking app
23574,page showing front page of social app
35527,notifcation displaying multiple options to open an application
1538,display of a dark screen in a camera app
11640,pop up reminder with options
14430,pop up displaying a calendar
34887,display showing the page is loading
15428,displaying a location
30358,page displaying a article on an app
15702,display of screen shows a page in a store
33011,display of likes page for a social application
17784,display of albums page in a music app
12810,notification to try the app with other options
10921,home page displayed
17908,display of playing an audio in favorites
16914,page displaying list of locations to select
224,list of blanks in a education app
24577,display of a profile photo in a social app
26970,display of options for a transit app
17401,welcome page for a sports application
3538,page asking user to add a card
1119,food delivery app sign up page with app information
1396,page displaying information to enter for signing up into account
14992,display of items in a shopping app
30823,channel page in a messaging app
2505,activity page displayed
33983,home page
26243,front page of a news app
33129,page displaying about an arm reaching crunches
14733,displaying account creation page for a baby app
11098,login page
14958,display of prices to buy an app
18642,display of a page showing of traveling app
19813,page displaying information about a promo code
25665,display of pending messages screen
34651,pop up showing number of countries to choose
13182,page displaying set of options in a fitness app
14362,initial page
19710,multiple search options to find books
21717,display showing number of restaurants in map
32315,chat page of a selling application
1880,page showing sign up options for an app
35393,daily activity details displayed
34889,page displaying with welcome to a social application
35519,display showing to fill the details of vehicle
29182,blank page displaying text
25365,display of screen shows about comic files
27916,log in page
11671,display of screen shows different categories
15156,display of a page showing online shopping app
26596,display of promotions in a gambling app
24712,display showing no internet connection to download books
32463,display of history page for a calling app
33139,account sign in page of app
16190,display page showing a list of doors for app
13957,list of different sports in sports app
11060,different types of disasters are displaying
13296,login page for the social app
23439,page displaying list of categories
17129,display of screen shows a pop up to be created
19117,log in page for an app
18268,display of item specifications in a food app
12633,display of screen shows home needs
33331,details of a gadget in a shopping app
20799,display of privacy policy page fro an app
13442,page displaying to install an app
1355,page asking to choose gender
35811,app asking through which mode i know about it
17072,home page displaying information about application to continue
25664,display of screen shows to find cars
10362,log in page for an app
11099,empty page with no bookings is displayed in the app
16471,log in page for an application
34180,car model in a car booking app
15408,login page with multiple options
34000,blank page displaying camera icon
2607,different categories are displaying in fitness app
26,display of screen shows to find address locator
29285,display of a mail composing page with message
24379,display of screen shows about tickets
25028,display of screen shows to share via other apps
